x,y
36.6,15.0232
36.7,15.0288
36.8,15.0344
36.9,15.0399
37,15.0453
37.1,15.0508
37.2,15.0562
37.3,15.0615
37.4,15.0668
37.5,15.0721
37.6,15.0774
37.7,15.0826
37.8,15.0878
37.9,15.0929
38,15.098
38.1,15.1031
38.2,15.1081
38.3,15.1131
38.4,15.1181
38.5,15.123
38.6,15.1279
38.7,15.1328
38.8,15.1376
38.9,15.1424
39,15.1472
39.1,15.1519
39.2,15.1566
39.3,15.1613
39.4,15.1659
39.5,15.1706
39.6,15.1751
39.7,15.1797
39.8,15.1842
39.9,15.1887
40,15.1931
40.1,15.1975
40.2,15.2019
40.3,15.2063
40.4,15.2106
40.5,15.2149
40.6,15.2192
40.7,15.2234
40.8,15.2277
40.9,15.2318
41,15.236
41.1,15.2401
41.2,15.2442
41.3,15.2483
41.4,15.2523
41.5,15.2563
41.6,15.2603
41.7,15.2643
41.8,15.2682
41.9,15.2721
42,15.276
42.1,15.2799
42.2,15.2837
42.3,15.2875
42.4,15.2913
42.5,15.295
42.6,15.2987
42.7,15.3024
42.8,15.3061
42.9,15.3098
43,15.3134
43.1,15.317
43.2,15.3206
43.3,15.3241
43.4,15.3276
43.5,15.3311
43.6,15.3346
43.7,15.3381
43.8,15.3415
43.9,15.3449
44,15.3483
44.1,15.3516
44.2,15.355
44.3,15.3583
44.4,15.3616
44.5,15.3648
44.6,15.3681
44.7,15.3713
44.8,15.3745
44.9,15.3777
45,15.3809
45.1,15.384
45.2,15.3871
45.3,15.3902
45.4,15.3933
45.5,15.3963
45.6,15.3994
45.7,15.4024
45.8,15.4054
45.9,15.4083
46,15.4113
46.1,15.4142
46.2,15.4171
46.3,15.42
46.4,15.4229
46.5,15.4257
46.6,15.4285
46.7,15.4314
46.8,15.4341
46.9,15.4369
47,15.4397
47.1,15.4424
47.2,15.4451
47.3,15.4478
47.4,15.4505
47.5,15.4532
47.6,15.4558
47.7,15.4584
47.8,15.461
47.9,15.4636
48,15.4662
48.1,15.4687
48.2,15.4713
48.3,15.4738
48.4,15.4763
48.5,15.4788
48.6,15.4812
48.7,15.4837
48.8,15.4861
48.9,15.4885
49,15.4909
49.1,15.4933
49.2,15.4957
49.3,15.4981
49.4,15.5004
49.5,15.5027
49.6,15.505
49.7,15.5073
49.8,15.5096
49.9,15.5118
50,15.5141
50.1,15.5163
50.2,15.5185
50.3,15.5207
50.4,15.5229
50.5,15.525
50.6,15.5272
50.7,15.5293
50.8,15.5315
50.9,15.5336
51,15.5356
51.1,15.5377
51.2,15.5398
51.3,15.5418
51.4,15.5439
51.5,15.5459
51.6,15.5479
51.7,15.5499
51.8,15.5519
51.9,15.5538
52,15.5558
52.1,15.5577
52.2,15.5597
52.3,15.5616
52.4,15.5635
52.5,15.5654
52.6,15.5672
52.7,15.5691
52.8,15.571
52.9,15.5728
53,15.5746
53.1,15.5764
53.2,15.5782
53.3,15.58
53.4,15.5818
53.5,15.5836
53.6,15.5853
53.7,15.587
53.8,15.5888
53.9,15.5905
54,15.5922
54.1,15.5939
54.2,15.5956
54.3,15.5972
54.4,15.5989
54.5,15.6005
54.6,15.6022
54.7,15.6038
54.8,15.6054
54.9,15.607
55,15.6086
55.1,15.6102
55.2,15.6117
55.3,15.6133
55.4,15.6149
55.5,15.6164
55.6,15.6179
55.7,15.6194
55.8,15.6209
55.9,15.6224
56,15.6239
56.1,15.6254
56.2,15.6269
56.3,15.6283
56.4,15.6298
56.5,15.6312
56.6,15.6326
56.7,15.634
56.8,15.6354
56.9,15.6368
57,15.6382
57.1,15.6396
57.2,15.641
57.3,15.6423
57.4,15.6437
57.5,15.645
57.6,15.6463
57.7,15.6477
57.8,15.649
57.9,15.6503
58,15.6516
58.1,15.6529
58.2,15.6541
58.3,15.6554
58.4,15.6567
58.5,15.6579
58.6,15.6592
58.7,15.6604
58.8,15.6616
58.9,15.6628
59,15.664
59.1,15.6652
59.2,15.6664
59.3,15.6676
59.4,15.6688
59.5,15.67
59.6,15.6711
59.7,15.6723
59.8,15.6734
59.9,15.6746
60,15.6757
60.1,15.6768
60.2,15.6779
60.3,15.679
60.4,15.6801
60.5,15.6812
60.6,15.6823
60.7,15.6834
60.8,15.6844
60.9,15.6855
61,15.6866
61.1,15.6876
61.2,15.6886
61.3,15.6897
61.4,15.6907
61.5,15.6917
61.6,15.6927
61.7,15.6937
61.8,15.6947
61.9,15.6957
62,15.6967
62.1,15.6977
62.2,15.6987
62.3,15.6996
62.4,15.7006
62.5,15.7015
62.6,15.7025
62.7,15.7034
62.8,15.7044
62.9,15.7053
63,15.7062
63.1,15.7071
63.2,15.708
63.3,15.7089
63.4,15.7098
63.5,15.7107
63.6,15.7116
63.7,15.7125
63.8,15.7133
63.9,15.7142
64,15.715
64.1,15.7159
64.2,15.7167
64.3,15.7176
64.4,15.7184
64.5,15.7192
64.6,15.7201
64.7,15.7209
64.8,15.7217
64.9,15.7225
65,15.7233
65.1,15.7241
65.2,15.7249
65.3,15.7257
65.4,15.7265
65.5,15.7272
65.6,15.728
65.7,15.7288
65.8,15.7295
65.9,15.7303
66,15.731
66.1,15.7318
66.2,15.7325
66.3,15.7332
66.4,15.734
66.5,15.7347
66.6,15.7354
66.7,15.7361
66.8,15.7368
66.9,15.7375
67,15.7382
67.1,15.7389
67.2,15.7396
67.3,15.7403
67.4,15.741
67.5,15.7417
67.6,15.7423
67.7,15.743
67.8,15.7437
67.9,15.7443
68,15.745
68.1,15.7456
68.2,15.7463
68.3,15.7469
68.4,15.7475
68.5,15.7482
68.6,15.7488
68.7,15.7494
68.8,15.75
68.9,15.7506
69,15.7512
69.1,15.7518
69.2,15.7524
69.3,15.753
69.4,15.7536
69.5,15.7542
69.6,15.7548
69.7,15.7554
69.8,15.756
69.9,15.7565
70,15.7571
70.1,15.7577
70.2,15.7582
70.3,15.7588
70.4,15.7593
70.5,15.7599
70.6,15.7604
70.7,15.761
70.8,15.7615
70.9,15.7621
71,15.7626
71.1,15.7631
71.2,15.7636
71.3,15.7642
71.4,15.7647
71.5,15.7652
71.6,15.7657
71.7,15.7662
71.8,15.7667
71.9,15.7672
72,15.7677
72.1,15.7682
72.2,15.7687
72.3,15.7692
72.4,15.7696
72.5,15.7701
72.6,15.7706
72.7,15.7711
72.8,15.7715
72.9,15.772
73,15.7725
73.1,15.7729
73.2,15.7734
73.3,15.7738
73.4,15.7743
73.5,15.7747
73.6,15.7752
73.7,15.7756
73.8,15.7761
73.9,15.7765
74,15.7769
74.1,15.7774
74.2,15.7778
74.3,15.7782
74.4,15.7786
74.5,15.7791
74.6,15.7795
74.7,15.7799
74.8,15.7803
74.9,15.7807
75,15.7811
75.1,15.7815
75.2,15.7819
75.3,15.7823
75.4,15.7827
75.5,15.7831
75.6,15.7835
75.7,15.7838
75.8,15.7842
75.9,15.7846
76,15.785
76.1,15.7854
76.2,15.7857
76.3,15.7861
76.4,15.7865
76.5,15.7868
76.6,15.7872
76.7,15.7876
76.8,15.7879
76.9,15.7883
77,15.7886
77.1,15.789
77.2,15.7893
77.3,15.7897
77.4,15.79
77.5,15.7903
77.6,15.7907
77.7,15.791
77.8,15.7913
77.9,15.7917
78,15.792
78.1,15.7923
78.2,15.7927
78.3,15.793
78.4,15.7933
78.5,15.7936
78.6,15.7939
78.7,15.7942
78.8,15.7946
78.9,15.7949
79,15.7952
79.1,15.7955
79.2,15.7958
79.3,15.7961
79.4,15.7964
79.5,15.7967
79.6,15.797
79.7,15.7973
79.8,15.7975
79.9,15.7978
80,15.7981
80.1,15.7984
80.2,15.7987
80.3,15.799
80.4,15.7993
